name,league,url
東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
琉球デイゴス,1部リーグ,https://q-league.net/club/deigos/
神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
ヴェルスパ大分レディース,1部リーグ,https://q-league.net/club/verspah-oita/
活水女子大学サッカー部,1部リーグ,https://q-league.net/club/kwassui/
熊本ルネサンスフットボールクラブ,2部リーグ,https://q-league.net/club/renaissance/
福岡大学サッカー部女子,2部リーグ,https://q-league.net/club/fukudai-avance/
大分トリニータレディース,2部リーグ,https://q-league.net/club/oita-trinita/
東海大学付属熊本星翔高等学校,2部リーグ,https://q-league.net/club/seisho/
福岡女学院高等学校サッカー部,2部リーグ,https://q-league.net/club/fukujo/
ANCLASノーヴァ,2部リーグ,https://q-league.net/club/anclas/
FC琉球さくら,2部リーグ,https://q-league.net/club/ryukyuokinawa/
みやきなでしこクラブ,2部リーグ,https://q-league.net/club/miyakinadeshiko/
